,event_no,event_half,event,event_id,event_text,raider_id,raiding_team_id,defender_id,defending_team_id,raid_points,raid_touch_points,raid_bonus_points,raid_technical_points,raid_all_out_points,defending_capture_points,defending_bonus_points,defending_technical_points,defending_all_out_points,super_raid,super_tackle,do_or_die,super_ten,high_five,review,defending_points,clock,status_id,score,seq_no,defenders,created_date,team_id,player_id,substituted_by,substitute_time
65,66,2,Unsuccessful Raid,2,Bhavani Rajput unsuccessful raid,660.0,3.0,5032.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,09:30,0,"[20, 24]",62,[5032],2024-02-28T21:59:32,,,,
66,67,2,Empty Raid,3,Vinay  empty raid,3054.0,28.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,09:07,0,"[20, 24]",63,[],2024-02-28T22:00:13,,,,
67,68,2,Unsuccessful Raid,2,V Ajith Kumar unsuccessful raid,3053.0,3.0,4186.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,08:39,0,"[20, 25]",64,[4186],2024-02-28T22:00:36,,,,
68,69,2,Successful Raid,1,Vinay  raids successfully,3054.0,28.0,,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,08:04,0,"[20, 26]",65,[3574],2024-02-28T22:01:08,,,,
69,70,2,Substitution,5,Shubham Shelke comes in for Reza Mirbagheri,,,,,,,,,,,,,,,,,,,,,07:33,0,,0,,2024-02-28T22:01:08,3.0,5022.0,4961.0,33.0
70,71,2,Empty Raid,3,Shubham Shelke empty raid,4961.0,3.0,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,07:32,0,"[20, 26]",66,[],2024-02-28T22:01:45,,,,
71,72,2,Empty Raid,3,Ashish  empty raid,3028.0,28.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,07:05,0,"[20, 26]",67,[],2024-02-28T22:02:17,,,,
72,73,2,Unsuccessful Raid,2,Shubham Shelke unsuccessful raid,4961.0,3.0,3028.0,28.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,06:35,0,"[21, 27]",68,[3028],2024-02-28T22:02:48,,,,
73,74,2,Empty Raid,3,Vinay  empty raid,3054.0,28.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,05:55,0,"[21, 27]",69,[],2024-02-28T22:03:25,,,,
74,75,2,Substitution,5,Naveen  comes in for Shivam Patare,,,,,,,,,,,,,,,,,,,,,05:21,0,,0,,2024-02-28T22:03:25,28.0,4108.0,5102.0,
75,76,2,Successful Raid,1,Arjun Deshwal raids successfully,2024.0,3.0,,28.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,05:16,0,"[22, 27]",70,[5102],2024-02-28T22:04:02,,,,
76,77,2,Successful Raid,1,Vinay  raids successfully,3054.0,28.0,,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,04:40,0,"[22, 29]",71,"[660, 368]",2024-02-28T22:04:31,,,,
77,78,2,Substitution,5,Shivam Patare comes in for Naveen ,,,,,,,,,,,,,,,,,,,,,04:02,0,,0,,2024-02-28T22:04:31,28.0,5102.0,4108.0,36.0
78,79,2,Successful Raid,1,Arjun Deshwal raids successfully,2024.0,3.0,,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,03:55,0,"[23, 29]",72,[],2024-02-28T22:05:12,,,,
79,80,2,Substitution,5,Reza Mirbagheri comes in for Arjun Deshwal,,,,,,,,,,,,,,,,,,,,,03:40,0,,0,,2024-02-28T22:05:12,3.0,2024.0,5022.0,37.0
80,81,2,Unsuccessful Raid,2,Vinay  unsuccessful raid,3054.0,28.0,5022.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,False,True,False,True,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,03:33,0,"[25, 29]",73,[5022],2024-02-28T22:06:34,,,,
