super-10s_player_name,player-tackle-points_player_name,player-super-raids_player_name,player-raid-points_player_name,player-super-tackles_player_name,player-total-points_player_name,high-5s_player_name,player-successful-tackles_player_name,player-avg-tackle-points_player_name,player-successful-raids_player_name,player-dod-raid-points_player_name,super-10s_match_played,player-tackle-points_match_played,player-super-raids_match_played,player-raid-points_match_played,player-super-tackles_match_played,player-total-points_match_played,high-5s_match_played,player-successful-tackles_match_played,player-avg-tackle-points_match_played,player-successful-raids_match_played,player-dod-raid-points_match_played,super-10s_position_name,player-tackle-points_position_name,player-super-raids_position_name,player-raid-points_position_name,player-super-tackles_position_name,player-total-points_position_name,high-5s_position_name,player-successful-tackles_position_name,player-avg-tackle-points_position_name,player-successful-raids_position_name,player-dod-raid-points_position_name,super-10s_team,player-tackle-points_team,player-super-raids_team,player-raid-points_team,player-super-tackles_team,player-total-points_team,high-5s_team,player-successful-tackles_team,player-avg-tackle-points_team,player-successful-raids_team,player-dod-raid-points_team,super-10s_team_name,player-tackle-points_team_name,player-super-raids_team_name,player-raid-points_team_name,player-super-tackles_team_name,player-total-points_team_name,high-5s_team_name,player-successful-tackles_team_name,player-avg-tackle-points_team_name,player-successful-raids_team_name,player-dod-raid-points_team_name,super-10s_team_full_name,player-tackle-points_team_full_name,player-super-raids_team_full_name,player-raid-points_team_full_name,player-super-tackles_team_full_name,player-total-points_team_full_name,high-5s_team_full_name,player-successful-tackles_team_full_name,player-avg-tackle-points_team_full_name,player-successful-raids_team_full_name,player-dod-raid-points_team_full_name,super-10s_rank,player-tackle-points_rank,player-super-raids_rank,player-raid-points_rank,player-super-tackles_rank,player-total-points_rank,high-5s_rank,player-successful-tackles_rank,player-avg-tackle-points_rank,player-successful-raids_rank,player-dod-raid-points_rank,super-10s_value,player-tackle-points_value,player-super-raids_value,player-raid-points_value,player-super-tackles_value,player-total-points_value,high-5s_value,player-successful-tackles_value,player-avg-tackle-points_value,player-successful-raids_value,player-dod-raid-points_value,super-10s_points_per_match,player-tackle-points_points_per_match,player-super-raids_points_per_match,player-raid-points_points_per_match,player-super-tackles_points_per_match,player-total-points_points_per_match,high-5s_points_per_match,player-successful-tackles_points_per_match,player-avg-tackle-points_points_per_match,player-successful-raids_points_per_match,player-dod-raid-points_points_per_match,super-10s_team_id,player-tackle-points_team_id,player-super-raids_team_id,player-raid-points_team_id,player-super-tackles_team_id,player-total-points_team_id,high-5s_team_id,player-successful-tackles_team_id,player-avg-tackle-points_team_id,player-successful-raids_team_id,player-dod-raid-points_team_id,super-10s_position_id,player-tackle-points_position_id,player-super-raids_position_id,player-raid-points_position_id,player-super-tackles_position_id,player-total-points_position_id,high-5s_position_id,player-successful-tackles_position_id,player-avg-tackle-points_position_id,player-successful-raids_position_id,player-dod-raid-points_position_id
,Sandeep Malik,,,Sandeep Malik,Sandeep Malik,,Sandeep Malik,Sandeep Malik,,,,1.0,,,1.0,1,,1.0,1.0,,,,Defender,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,BLR,,,BLR,BLR,,BLR,BLR,,,,Bengaluru Bulls,,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,,,,75.0,,,38.0,108,,104.0,21.0,,,,2.0,,,1.0,2,,1.0,2.0,,,,2.0,,,1.0,2.0,,1.0,2.0,,,,1.0,,,1.0,1,,1.0,1.0,,,,9.0,,,9.0,9,,9.0,9.0,,
,Aman Kumar,,,,Aman Kumar,,Aman Kumar,Aman Kumar,,,,4.0,,,,4,,4.0,4.0,,,,Defender,,,,Defender,,Defender,Defender,,,,,,,,,,,,,,,PAT,,,,PAT,,PAT,PAT,,,,Patna Pirates,,,,Patna Pirates,,Patna Pirates,Patna Pirates,,,,76.0,,,,109,,77.0,78.0,,,,2.0,,,,2,,2.0,0.5,,,,0.5,,,,0.5,,0.5,0.125,,,,6.0,,,,6,,6.0,6.0,,,,9.0,,,,9,,9.0,9.0,,
,Sunil,,Sunil,Sunil,Sunil,Sunil,Sunil,Sunil,Sunil,,,9.0,,9.0,9.0,9,9.0,9.0,9.0,9.0,,,Defender,,Defender,Defender,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,PAT,,PAT,PAT,PAT,PAT,PAT,PAT,PAT,,,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,,20.0,,69.0,13.0,44,18.0,21.0,10.0,76.0,,,22.0,,2.0,3.0,24,1.0,19.0,2.44,1.0,,,2.4444444444444446,,0.2222222222222222,0.3333333333333333,2.6666666666666665,0.1111111111111111,2.111111111111111,0.2711111111111111,0.1111111111111111,,,6.0,,6.0,6.0,6,6.0,6.0,6.0,6.0,,,9.0,,9.0,9.0,9,9.0,9.0,9.0,9.0,
,Varinder Singh,,,,Varinder Singh,,Varinder Singh,Varinder Singh,,,,8.0,,,,8,,8.0,8.0,,,,Defender,,,,Defender,,Defender,Defender,,,,,,,,,,,,,,,PAT,,,,PAT,,PAT,PAT,,,,Patna Pirates,,,,Patna Pirates,,Patna Pirates,Patna Pirates,,,,59.0,,,,98,,57.0,70.0,,,,5.0,,,,5,,5.0,0.63,,,,0.625,,,,0.625,,0.625,0.07875,,,,6.0,,,,6,,6.0,6.0,,,,9.0,,,,9,,9.0,9.0,,
,Deepak Narwal,Deepak Narwal,Deepak Narwal,,Deepak Narwal,,Deepak Narwal,Deepak Narwal,Deepak Narwal,Deepak Narwal,,16.0,16.0,16.0,,16,,16.0,16.0,16.0,16.0,,Raider,Raider,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,,PAT,PAT,PAT,,PAT,,PAT,PAT,PAT,PAT,,Patna Pirates,Patna Pirates,Patna Pirates,,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,61.0,27.0,12.0,,16,,58.0,91.0,10.0,10.0,,4.0,1.0,57.0,,61,,4.0,0.25,45.0,18.0,,0.25,0.0625,3.5625,,3.8125,,0.25,0.015625,2.8125,1.125,,6.0,6.0,6.0,,6,,6.0,6.0,6.0,6.0,,8.0,8.0,8.0,,8,,8.0,8.0,8.0,8.0
,Amit Hooda,,Amit Hooda,Amit Hooda,Amit Hooda,,Amit Hooda,Amit Hooda,Amit Hooda,Amit Hooda,,12.0,,12.0,12.0,12,,12.0,12.0,12.0,12.0,,Defender,,Defender,Defender,Defender,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,PAT,,PAT,PAT,PAT,,PAT,PAT,PAT,PAT,,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,21.0,,59.0,30.0,43,,20.0,29.0,54.0,56.0,,21.0,,5.0,1.0,26,,20.0,1.75,4.0,1.0,,1.75,,0.4166666666666667,0.0833333333333333,2.1666666666666665,,1.6666666666666667,0.1458333333333333,0.3333333333333333,0.0833333333333333,,6.0,,6.0,6.0,6,,6.0,6.0,6.0,6.0,,9.0,,9.0,9.0,9,,9.0,9.0,9.0,9.0
Rohit Kumar Choudary,Rohit Kumar Choudary,Rohit Kumar Choudary,Rohit Kumar Choudary,,Rohit Kumar Choudary,,Rohit Kumar Choudary,Rohit Kumar Choudary,Rohit Kumar Choudary,Rohit Kumar Choudary,14.0,14.0,14.0,14.0,,14,,14.0,14.0,14.0,14.0,Raider,Raider,Raider,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,DEL,DEL,DEL,DEL,,DEL,,DEL,DEL,DEL,DEL,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,10.0,73.0,4.0,10.0,,14,,73.0,94.0,14.0,2.0,1.0,3.0,6.0,61.0,,64,,3.0,0.21,41.0,33.0,0.0714285714285714,0.2142857142857142,0.4285714285714285,4.357142857142857,,4.571428571428571,,0.2142857142857142,0.015,2.9285714285714284,2.357142857142857,2.0,2.0,2.0,2.0,,2,,2.0,2.0,2.0,2.0,8.0,8.0,8.0,8.0,,8,,8.0,8.0,8.0,8.0
,K. Prapanjan,,K. Prapanjan,,K. Prapanjan,,K. Prapanjan,K. Prapanjan,K. Prapanjan,K. Prapanjan,,4.0,,4.0,,4,,4.0,4.0,4.0,4.0,,Raider,,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,,MUM,,MUM,,MUM,,MUM,MUM,MUM,MUM,,U Mumba,,U Mumba,,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,,77.0,,57.0,,93,,74.0,76.0,60.0,54.0,,2.0,,5.0,,7,,2.0,0.5,3.0,2.0,,0.5,,1.25,,1.75,,0.5,0.125,0.75,0.5,,5.0,,5.0,,5,,5.0,5.0,5.0,5.0,,8.0,,8.0,,8,,8.0,8.0,8.0,8.0
,Anoop E.V.,,,,Anoop E.V.,,Anoop E.V.,Anoop E.V.,,,,2.0,,,,2,,2.0,2.0,,,,Raider,,,,Raider,,Raider,Raider,,,,,,,,,,,,,,,MUM,,,,MUM,,MUM,MUM,,,,U Mumba,,,,U Mumba,,U Mumba,U Mumba,,,,78.0,,,,110,,75.0,54.0,,,,2.0,,,,2,,2.0,1.0,,,,1.0,,,,1.0,,1.0,0.5,,,,5.0,,,,5,,5.0,5.0,,,,8.0,,,,8,,8.0,8.0,,
,G.S. Manikandan,,,G.S. Manikandan,G.S. Manikandan,,G.S. Manikandan,G.S. Manikandan,,,,13.0,,,13.0,13,,13.0,13.0,,,,Defender,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,DEL,,,DEL,DEL,,DEL,DEL,,,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,38.0,,,31.0,83,,36.0,60.0,,,,10.0,,,1.0,10,,9.0,0.77,,,,0.7692307692307693,,,0.0769230769230769,0.7692307692307693,,0.6923076923076923,0.0592307692307692,,,,2.0,,,2.0,2,,2.0,2.0,,,,9.0,,,9.0,9,,9.0,9.0,,
,Rajeev Kumar,,,,Rajeev Kumar,,Rajeev Kumar,Rajeev Kumar,,,,3.0,,,,3,,3.0,3.0,,,,Defender,,,,Defender,,Defender,Defender,,,,,,,,,,,,,,,DEL,,,,DEL,,DEL,DEL,,,,Dabang Delhi K.C.,,,,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,62.0,,,,101,,59.0,39.0,,,,4.0,,,,4,,4.0,1.33,,,,1.3333333333333333,,,,1.3333333333333333,,1.3333333333333333,0.4433333333333333,,,,2.0,,,,2,,2.0,2.0,,,,9.0,,,,9,,9.0,9.0,,
,,,Inderpal Bishnoi,,Inderpal Bishnoi,,,,Inderpal Bishnoi,,,,,2.0,,2,,,,2.0,,,,,Raider,,Raider,,,,Raider,,,,,,,,,,,,,,,,DEL,,DEL,,,,DEL,,,,,Dabang Delhi K.C.,,Dabang Delhi K.C.,,,,Dabang Delhi K.C.,,,,,76.0,,123,,,,75.0,,,,,1.0,,1,,,,1.0,,,,,0.5,,0.5,,,,0.5,,,,,2.0,,2,,,,2.0,,,,,8.0,,8,,,,8.0,
,,,Sandeep Tomar,,Sandeep Tomar,,,,Sandeep Tomar,Sandeep Tomar,,,,3.0,,3,,,,3.0,3.0,,,,Raider,,Raider,,,,Raider,Raider,,,,,,,,,,,,,,,DEL,,DEL,,,,DEL,DEL,,,,Dabang Delhi K.C.,,Dabang Delhi K.C.,,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,71.0,,106,,,,65.0,55.0,,,,2.0,,2,,,,2.0,1.0,,,,0.6666666666666666,,0.6666666666666666,,,,0.6666666666666666,0.3333333333333333,,,,2.0,,2,,,,2.0,2.0,,,,8.0,,8,,,,8.0,8.0
,,,Amit Om Prakash Rathi,,Amit Om Prakash Rathi,,,,Amit Om Prakash Rathi,Amit Om Prakash Rathi,,,,5.0,,5,,,,5.0,5.0,,,,Raider,,Raider,,,,Raider,Raider,,,,,,,,,,,,,,,PUN,,PUN,,,,PUN,PUN,,,,Puneri Paltan,,Puneri Paltan,,,,Puneri Paltan,Puneri Paltan,,,,42.0,,71,,,,41.0,46.0,,,,12.0,,12,,,,9.0,3.0,,,,2.4,,2.4,,,,1.8,0.6,,,,7.0,,7,,,,7.0,7.0,,,,8.0,,8,,,,8.0,8.0
,,Sachin Vittala,Sachin Vittala,,Sachin Vittala,,,,Sachin Vittala,Sachin Vittala,,,4.0,4.0,,4,,,,4.0,4.0,,,Defender,Defender,,Defender,,,,Defender,Defender,,,,,,,,,,,,,,PUN,PUN,,PUN,,,,PUN,PUN,,,Puneri Paltan,Puneri Paltan,,Puneri Paltan,,,,Puneri Paltan,Puneri Paltan,,,28.0,46.0,,76,,,,42.0,40.0,,,1.0,11.0,,11,,,,9.0,4.0,,,0.25,2.75,,2.75,,,,2.25,1.0,,,7.0,7.0,,7,,,,7.0,7.0,,,9.0,9.0,,9,,,,9.0,9.0
,Manoj Dhull,,,,Manoj Dhull,,Manoj Dhull,Manoj Dhull,,,,7.0,,,,7,,7.0,7.0,,,,Defender,,,,Defender,,Defender,Defender,,,,,,,,,,,,,,,PUN,,,,PUN,,PUN,PUN,,,,Puneri Paltan,,,,Puneri Paltan,,Puneri Paltan,Puneri Paltan,,,,31.0,,,,67,,30.0,27.0,,,,13.0,,,,13,,13.0,1.86,,,,1.8571428571428572,,,,1.8571428571428572,,1.8571428571428572,0.2657142857142857,,,,7.0,,,,7,,7.0,7.0,,,,9.0,,,,9,,9.0,9.0,,
,Surender Singh,,Surender Singh,,Surender Singh,,Surender Singh,Surender Singh,Surender Singh,Surender Singh,,2.0,,2.0,,2,,2.0,2.0,2.0,2.0,,Raider,,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,,PUN,,PUN,,PUN,,PUN,PUN,PUN,PUN,,Puneri Paltan,,Puneri Paltan,,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,72.0,,58.0,,88,,72.0,33.0,53.0,57.0,,3.0,,5.0,,8,,3.0,1.5,4.0,1.0,,1.5,,2.5,,4.0,,1.5,0.75,2.0,0.5,,7.0,,7.0,,7,,7.0,7.0,7.0,7.0,,8.0,,8.0,,8,,8.0,8.0,8.0,8.0
,Vijender Singh,,Vijender Singh,Vijender Singh,Vijender Singh,,Vijender Singh,Vijender Singh,,,,7.0,,7.0,7.0,7,,7.0,7.0,,,,Defender,,Defender,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,PUN,,PUN,PUN,PUN,,PUN,PUN,,,,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,,,,39.0,,75.0,32.0,77,,37.0,35.0,,,,10.0,,1.0,1.0,11,,9.0,1.43,,,,1.4285714285714286,,0.1428571428571428,0.1428571428571428,1.5714285714285714,,1.2857142857142858,0.2042857142857142,,,,7.0,,7.0,7.0,7,,7.0,7.0,,,,9.0,,9.0,9.0,9,,9.0,9.0,,
,T. Prasad,,,,T. Prasad,,T. Prasad,T. Prasad,,,,6.0,,,,6,,6.0,6.0,,,,All Rounder,,,,All Rounder,,All Rounder,All Rounder,,,,,,,,,,,,,,,HYD,,,,HYD,,HYD,HYD,,,,Telugu Titans,,,,Telugu Titans,,Telugu Titans,Telugu Titans,,,,64.0,,,,100,,62.0,67.0,,,,4.0,,,,4,,4.0,0.67,,,,0.6666666666666666,,,,0.6666666666666666,,0.6666666666666666,0.1116666666666666,,,,8.0,,,,8,,8.0,8.0,,,,0.0,,,,0,,0.0,0.0,,
,Amit Kumar,,,,Amit Kumar,,Amit Kumar,Amit Kumar,,,,1.0,,,,1,,1.0,1.0,,,,All Rounder,,,,All Rounder,,All Rounder,All Rounder,,,,,,,,,,,,,,,PUN,,,,PUN,,PUN,PUN,,,,Puneri Paltan,,,,Puneri Paltan,,Puneri Paltan,Puneri Paltan,,,,102.0,,,,124,,100.0,55.0,,,,1.0,,,,1,,1.0,1.0,,,,1.0,,,,1.0,,1.0,1.0,,,,7.0,,,,7,,7.0,7.0,,,,0.0,,,,0,,0.0,0.0,,
,Isac Antony,,Isac Antony,,Isac Antony,,Isac Antony,Isac Antony,Isac Antony,Isac Antony,,7.0,,7.0,,7,,7.0,7.0,7.0,7.0,,Raider,,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,,HYD,,HYD,,HYD,,HYD,HYD,HYD,HYD,,Telugu Titans,,Telugu Titans,,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,63.0,,49.0,,61,,61.0,75.0,43.0,58.0,,4.0,,10.0,,14,,4.0,0.57,9.0,1.0,,0.5714285714285714,,1.4285714285714286,,2.0,,0.5714285714285714,0.0814285714285714,1.2857142857142858,0.1428571428571428,,8.0,,8.0,,8,,8.0,8.0,8.0,8.0,,8.0,,8.0,,8,,8.0,8.0,8.0,8.0
,Jishnu,,,,Jishnu,,Jishnu,Jishnu,,,,3.0,,,,3,,3.0,3.0,,,,Defender,,,,Defender,,Defender,Defender,,,,,,,,,,,,,,,HYD,,,,HYD,,HYD,HYD,,,,Telugu Titans,,,,Telugu Titans,,Telugu Titans,Telugu Titans,,,,100.0,,,,128,,99.0,86.0,,,,1.0,,,,1,,1.0,0.33,,,,0.3333333333333333,,,,0.3333333333333333,,0.3333333333333333,0.11,,,,8.0,,,,8,,8.0,8.0,,,,9.0,,,,9,,9.0,9.0,,
,Ravi Kumar,,,Ravi Kumar,Ravi Kumar,Ravi Kumar,Ravi Kumar,Ravi Kumar,,,,13.0,,,13.0,13,13.0,13.0,13.0,,,,Defender,,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,,PUN,,,PUN,PUN,PUN,PUN,PUN,,,,Puneri Paltan,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,,,9.0,,,9.0,33,5.0,8.0,7.0,,,,37.0,,,4.0,37,3.0,33.0,2.85,,,,2.8461538461538463,,,0.3076923076923077,2.8461538461538463,0.2307692307692307,2.5384615384615383,0.2192307692307692,,,,7.0,,,7.0,7,7.0,7.0,7.0,,,,9.0,,,9.0,9,9.0,9.0,9.0,,
,Ravit Kumar,,Ravit Kumar,,Ravit Kumar,,Ravit Kumar,Ravit Kumar,Ravit Kumar,,,3.0,,3.0,,3,,3.0,3.0,3.0,,,Raider,,Raider,,Raider,,Raider,Raider,Raider,,,,,,,,,,,,,,HYD,,HYD,,HYD,,HYD,HYD,HYD,,,Telugu Titans,,Telugu Titans,,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,,,103.0,,77.0,,107,,101.0,85.0,77.0,,,1.0,,1.0,,2,,1.0,0.33,1.0,,,0.3333333333333333,,0.3333333333333333,,0.6666666666666666,,0.3333333333333333,0.11,0.3333333333333333,,,8.0,,8.0,,8,,8.0,8.0,8.0,,,8.0,,8.0,,8,,8.0,8.0,8.0,
,,,Tushar Patil,,Tushar Patil,,,,Tushar Patil,Tushar Patil,,,,6.0,,6,,,,6.0,6.0,,,,Raider,,Raider,,,,Raider,Raider,,,,,,,,,,,,,,,PUN,,PUN,,,,PUN,PUN,,,,Puneri Paltan,,Puneri Paltan,,,,Puneri Paltan,Puneri Paltan,,,,34.0,,60,,,,30.0,28.0,,,,15.0,,15,,,,15.0,6.0,,,,2.5,,2.5,,,,2.5,1.0,,,,7.0,,7,,,,7.0,7.0,,,,8.0,,8,,,,8.0,8.0
,Sanjay Kumar,Sanjay Kumar,Sanjay Kumar,,Sanjay Kumar,,Sanjay Kumar,Sanjay Kumar,Sanjay Kumar,Sanjay Kumar,,7.0,7.0,7.0,,7,,7.0,7.0,7.0,7.0,,All Rounder,All Rounder,All Rounder,,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,PUN,PUN,PUN,,PUN,,PUN,PUN,PUN,PUN,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,104.0,10.0,35.0,,59,,102.0,101.0,40.0,39.0,,1.0,2.0,15.0,,16,,1.0,0.14,9.0,4.0,,0.1428571428571428,0.2857142857142857,2.142857142857143,,2.2857142857142856,,0.1428571428571428,0.02,1.2857142857142858,0.5714285714285714,,7.0,7.0,7.0,,7,,7.0,7.0,7.0,7.0,,0.0,0.0,0.0,,0,,0.0,0.0,0.0,0.0
,,,Ravi V.,,Ravi V.,,,,Ravi V.,Ravi V.,,,,2.0,,2,,,,2.0,2.0,,,,Raider,,Raider,,,,Raider,Raider,,,,,,,,,,,,,,,PUN,,PUN,,,,PUN,PUN,,,,Puneri Paltan,,Puneri Paltan,,,,Puneri Paltan,Puneri Paltan,,,,51.0,,91,,,,52.0,45.0,,,,8.0,,8,,,,5.0,3.0,,,,4.0,,4.0,,,,2.5,1.5,,,,7.0,,7,,,,7.0,7.0,,,,8.0,,8,,,,8.0,8.0
,Yogesh Hooda,,Yogesh Hooda,,Yogesh Hooda,,Yogesh Hooda,Yogesh Hooda,Yogesh Hooda,Yogesh Hooda,,4.0,,4.0,,4,,4.0,4.0,4.0,4.0,,Raider,,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,,PUN,,PUN,,PUN,,PUN,PUN,PUN,PUN,,Puneri Paltan,,Puneri Paltan,,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,105.0,,44.0,,63,,103.0,90.0,36.0,30.0,,1.0,,12.0,,13,,1.0,0.25,11.0,5.0,,0.25,,3.0,,3.25,,0.25,0.0625,2.75,1.25,,7.0,,7.0,,7,,7.0,7.0,7.0,7.0,,8.0,,8.0,,8,,8.0,8.0,8.0,8.0
,Harvinder Singh,,,Harvinder Singh,Harvinder Singh,,Harvinder Singh,Harvinder Singh,,,,4.0,,,4.0,4,,4.0,4.0,,,,Defender,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,PUN,,,PUN,PUN,,PUN,PUN,,,,Puneri Paltan,,,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,,,,46.0,,,35.0,90,,47.0,22.0,,,,8.0,,,1.0,8,,7.0,2.0,,,,2.0,,,0.25,2.0,,1.75,0.5,,,,7.0,,,7.0,7,,7.0,7.0,,,,9.0,,,9.0,9,,9.0,9.0,,
,Sandeep Kandola,,Sandeep Kandola,Sandeep Kandola,Sandeep Kandola,Sandeep Kandola,Sandeep Kandola,Sandeep Kandola,Sandeep Kandola,,,16.0,,16.0,16.0,16,16.0,16.0,16.0,16.0,,,Defender,,Defender,Defender,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,HYD,,HYD,HYD,HYD,HYD,HYD,HYD,HYD,,,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,,2.0,,45.0,10.0,10,1.0,1.0,2.0,48.0,,,59.0,,11.0,4.0,70,6.0,55.0,3.69,7.0,,,3.6875,,0.6875,0.25,4.375,0.375,3.4375,0.230625,0.4375,,,8.0,,8.0,8.0,8,8.0,8.0,8.0,8.0,,,9.0,,9.0,9.0,9,9.0,9.0,9.0,9.0,
,Hadi Oshtorak,,,Hadi Oshtorak,Hadi Oshtorak,Hadi Oshtorak,Hadi Oshtorak,Hadi Oshtorak,,,,4.0,,,4.0,4,4.0,4.0,4.0,,,,All Rounder,,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,,HYD,,,HYD,HYD,HYD,HYD,HYD,,,,Telugu Titans,,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,,,51.0,,,29.0,92,19.0,48.0,30.0,,,,7.0,,,1.0,7,1.0,6.0,1.75,,,,1.75,,,0.25,1.75,0.25,1.5,0.4375,,,,8.0,,,8.0,8,8.0,8.0,8.0,,,,0.0,,,0.0,0,0.0,0.0,0.0,,
,Hyunil Park,,Hyunil Park,,Hyunil Park,,Hyunil Park,Hyunil Park,Hyunil Park,,,2.0,,2.0,,2,,2.0,2.0,2.0,,,All Rounder,,All Rounder,,All Rounder,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,HYD,,HYD,,HYD,,HYD,HYD,HYD,,,Telugu Titans,,Telugu Titans,,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,,,101.0,,72.0,,105,,107.0,77.0,78.0,,,1.0,,2.0,,3,,1.0,0.5,1.0,,,0.5,,1.0,,1.5,,0.5,0.25,0.5,,,8.0,,8.0,,8,,8.0,8.0,8.0,,,0.0,,0.0,,0,,0.0,0.0,0.0,
Meraj Sheykh,Meraj Sheykh,Meraj Sheykh,Meraj Sheykh,,Meraj Sheykh,,Meraj Sheykh,Meraj Sheykh,Meraj Sheykh,Meraj Sheykh,15.0,15.0,15.0,15.0,,15,,15.0,15.0,15.0,15.0,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,HYD,HYD,HYD,HYD,,HYD,,HYD,HYD,HYD,HYD,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,11.0,45.0,9.0,25.0,,32,,39.0,72.0,28.0,53.0,1.0,9.0,3.0,29.0,,38,,9.0,0.6,18.0,2.0,0.0666666666666666,0.6,0.2,1.9333333333333331,,2.533333333333333,,0.6,0.04,1.2,0.1333333333333333,8.0,8.0,8.0,8.0,,8,,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,,0,,0.0,0.0,0.0,0.0
,Kuldeep Singh,Kuldeep Singh,Kuldeep Singh,Kuldeep Singh,Kuldeep Singh,Kuldeep Singh,Kuldeep Singh,Kuldeep Singh,Kuldeep Singh,Kuldeep Singh,,14.0,14.0,14.0,14.0,14,14.0,14.0,14.0,14.0,14.0,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,JAI,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,12.0,32.0,26.0,11.0,15,12.0,12.0,11.0,25.0,29.0,,34.0,1.0,28.0,4.0,62,2.0,30.0,2.43,20.0,6.0,,2.4285714285714284,0.0714285714285714,2.0,0.2857142857142857,4.428571428571429,0.1428571428571428,2.142857142857143,0.1735714285714285,1.4285714285714286,0.4285714285714285,,3.0,3.0,3.0,3.0,3,3.0,3.0,3.0,3.0,3.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
