player-super-raids_player_name,player-total-points_player_name,super-10s_player_name,player-successful-raids_player_name,player-super-tackles_player_name,player-avg-tackle-points_player_name,player-dod-raid-points_player_name,player-raid-points_player_name,player-successful-tackles_player_name,high-5s_player_name,player-tackle-points_player_name,player-super-raids_match_played,player-total-points_match_played,super-10s_match_played,player-successful-raids_match_played,player-super-tackles_match_played,player-avg-tackle-points_match_played,player-dod-raid-points_match_played,player-raid-points_match_played,player-successful-tackles_match_played,high-5s_match_played,player-tackle-points_match_played,player-super-raids_position_name,player-total-points_position_name,super-10s_position_name,player-successful-raids_position_name,player-super-tackles_position_name,player-avg-tackle-points_position_name,player-dod-raid-points_position_name,player-raid-points_position_name,player-successful-tackles_position_name,high-5s_position_name,player-tackle-points_position_name,player-super-raids_team,player-total-points_team,super-10s_team,player-successful-raids_team,player-super-tackles_team,player-avg-tackle-points_team,player-dod-raid-points_team,player-raid-points_team,player-successful-tackles_team,high-5s_team,player-tackle-points_team,player-super-raids_team_name,player-total-points_team_name,super-10s_team_name,player-successful-raids_team_name,player-super-tackles_team_name,player-avg-tackle-points_team_name,player-dod-raid-points_team_name,player-raid-points_team_name,player-successful-tackles_team_name,high-5s_team_name,player-tackle-points_team_name,player-super-raids_team_full_name,player-total-points_team_full_name,super-10s_team_full_name,player-successful-raids_team_full_name,player-super-tackles_team_full_name,player-avg-tackle-points_team_full_name,player-dod-raid-points_team_full_name,player-raid-points_team_full_name,player-successful-tackles_team_full_name,high-5s_team_full_name,player-tackle-points_team_full_name,player-super-raids_rank,player-total-points_rank,super-10s_rank,player-successful-raids_rank,player-super-tackles_rank,player-avg-tackle-points_rank,player-dod-raid-points_rank,player-raid-points_rank,player-successful-tackles_rank,high-5s_rank,player-tackle-points_rank,player-super-raids_value,player-total-points_value,super-10s_value,player-successful-raids_value,player-super-tackles_value,player-avg-tackle-points_value,player-dod-raid-points_value,player-raid-points_value,player-successful-tackles_value,high-5s_value,player-tackle-points_value,player-super-raids_points_per_match,player-total-points_points_per_match,super-10s_points_per_match,player-successful-raids_points_per_match,player-super-tackles_points_per_match,player-avg-tackle-points_points_per_match,player-dod-raid-points_points_per_match,player-raid-points_points_per_match,player-successful-tackles_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-super-raids_team_id,player-total-points_team_id,super-10s_team_id,player-successful-raids_team_id,player-super-tackles_team_id,player-avg-tackle-points_team_id,player-dod-raid-points_team_id,player-raid-points_team_id,player-successful-tackles_team_id,high-5s_team_id,player-tackle-points_team_id,player-super-raids_position_id,player-total-points_position_id,super-10s_position_id,player-successful-raids_position_id,player-super-tackles_position_id,player-avg-tackle-points_position_id,player-dod-raid-points_position_id,player-raid-points_position_id,player-successful-tackles_position_id,high-5s_position_id,player-tackle-points_position_id
Himanshu,Himanshu,,Himanshu,Himanshu,Himanshu,Himanshu,Himanshu,Himanshu,,Himanshu,23.0,23,,23.0,23.0,23.0,23.0,23.0,23.0,,23.0,Defender - Left Corner,Defender - Left Corner,,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,,Defender - Left Corner,,,,,,,,,,,,CHE,CHE,,CHE,CHE,CHE,CHE,CHE,CHE,,CHE,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,45.0,37,,43.0,16.0,68.0,50.0,46.0,42.0,,41.0,1.0,60,,26.0,4.0,1.22,3.0,32.0,24.0,,28.0,0.0434782608695652,2.608695652173913,,1.1304347826086956,0.1739130434782608,0.0530434782608695,0.1304347826086956,1.391304347826087,1.0434782608695652,,1.2173913043478262,29.0,29,,29.0,29.0,29.0,29.0,29.0,29.0,,29.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,Satywan,,,,Satywan,,,Satywan,,Satywan,,2,,,,2.0,,,2.0,,2.0,,Defender - Left Cover,,,,Defender - Left Cover,,,Defender - Left Cover,,Defender - Left Cover,,,,,,,,,,,,,MUM,,,,MUM,,,MUM,,MUM,,U Mumba,,,,U Mumba,,,U Mumba,,U Mumba,,216,,,,116.0,,,172.0,,161.0,,1,,,,0.5,,,1.0,,1.0,,0.5,,,,0.25,,,0.5,,0.5,,5,,,,5.0,,,5.0,,5.0,,0,,,,0.0,,,0.0,,0.0
,Daniel Odhiambo,,Daniel Odhiambo,,,,Daniel Odhiambo,,,,,2,,2.0,,,,2.0,,,,,All-Rounder,,All-Rounder,,,,All-Rounder,,,,,,,,,,,,,,,,PAT,,PAT,,,,PAT,,,,,Patna Pirates,,Patna Pirates,,,,Patna Pirates,,,,,140,,63.0,,,,76.0,,,,,9,,9.0,,,,9.0,,,,,4.5,,4.5,,,,4.5,,,,,6,,6.0,,,,6.0,,,,,0,,0.0,,,,0.0,,,
,Mohammad Mahalli,,,,Mohammad Mahalli,,,Mohammad Mahalli,,Mohammad Mahalli,,2,,,,2.0,,,2.0,,2.0,,Raider,,,,Raider,,,Raider,,Raider,,,,,,,,,,,,,HAR,,,,HAR,,,HAR,,HAR,,Haryana Steelers,,,,Haryana Steelers,,,Haryana Steelers,,Haryana Steelers,,215,,,,117.0,,,173.0,,162.0,,1,,,,0.5,,,1.0,,1.0,,0.5,,,,0.25,,,0.5,,0.5,,28,,,,28.0,,,28.0,,28.0,,8,,,,8.0,,,8.0,,8.0
Mohammad Nabibakhsh,Mohammad Nabibakhsh,,Mohammad Nabibakhsh,Mohammad Nabibakhsh,Mohammad Nabibakhsh,Mohammad Nabibakhsh,Mohammad Nabibakhsh,Mohammad Nabibakhsh,,Mohammad Nabibakhsh,15.0,15,,15.0,15.0,15.0,15.0,15.0,15.0,,15.0,All-Rounder,All-Rounder,,All-Rounder,All-Rounder,All-Rounder,All-Rounder,All-Rounder,All-Rounder,,All-Rounder,,,,,,,,,,,,PUN,PUN,,PUN,PUN,PUN,PUN,PUN,PUN,,PUN,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,46.0,72,,53.0,40.0,88.0,76.0,53.0,65.0,,65.0,1.0,36,,15.0,2.0,0.93,1.0,22.0,12.0,,14.0,0.0666666666666666,2.4,,1.0,0.1333333333333333,0.062,0.0666666666666666,1.4666666666666666,0.8,,0.9333333333333332,7.0,7,,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,Harmanjit Singh,,,,,,Harmanjit Singh,,,,,3,,,,,,3.0,,,,,Raider,,,,,,Raider,,,,,,,,,,,,,,,,BLR,,,,,,BLR,,,,,Bengaluru Bulls,,,,,,Bengaluru Bulls,,,,,185,,,,,,92.0,,,,,3,,,,,,3.0,,,,,1.0,,,,,,1.0,,,,,1,,,,,,1.0,,,,,8,,,,,,8.0,,,
,Ankit,,Ankit,Ankit,Ankit,Ankit,Ankit,Ankit,Ankit,Ankit,,15,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,Defender,,Defender,Defender,Defender,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,HYD,,HYD,HYD,HYD,HYD,HYD,HYD,HYD,HYD,,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,93,,90.0,4.0,41.0,77.0,101.0,52.0,34.0,42.0,,28,,2.0,8.0,1.73,1.0,2.0,18.0,1.0,26.0,,1.8666666666666667,,0.1333333333333333,0.5333333333333333,0.1153333333333333,0.0666666666666666,0.1333333333333333,1.2,0.0666666666666666,1.7333333333333334,,8,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,9,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
,Saurabh Nandal,,Saurabh Nandal,Saurabh Nandal,Saurabh Nandal,,Saurabh Nandal,Saurabh Nandal,Saurabh Nandal,Saurabh Nandal,,24,,24.0,24.0,24.0,,24.0,24.0,24.0,24.0,,Defender - Left Corner,,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,,,,,,,,,,,,,BLR,,BLR,BLR,BLR,,BLR,BLR,BLR,BLR,,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,33,,107.0,15.0,8.0,,116.0,3.0,12.0,3.0,,73,,1.0,4.0,3.0,,1.0,68.0,3.0,72.0,,3.0416666666666665,,0.0416666666666666,0.1666666666666666,0.125,,0.0416666666666666,2.8333333333333335,0.125,3.0,,1,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
,Pankaj Mohite,Pankaj Mohite,Pankaj Mohite,Pankaj Mohite,Pankaj Mohite,Pankaj Mohite,Pankaj Mohite,Pankaj Mohite,,Pankaj Mohite,,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,13.0,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,,PUN,PUN,PUN,PUN,PUN,PUN,PUN,PUN,,PUN,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,,36,24.0,31.0,75.0,103.0,44.0,34.0,82.0,,83.0,,60,2.0,45.0,1.0,0.62,5.0,52.0,7.0,,8.0,,4.615384615384615,0.1538461538461538,3.4615384615384617,0.0769230769230769,0.0476923076923076,0.3846153846153846,4.0,0.5384615384615384,,0.6153846153846154,,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0
,Sanket Sawant,,,,Sanket Sawant,,,Sanket Sawant,,Sanket Sawant,,24,,,,24.0,,,24.0,,24.0,,Defender - Left Cover,,,,Defender - Left Cover,,,Defender - Left Cover,,Defender - Left Cover,,,,,,,,,,,,,PUN,,,,PUN,,,PUN,,PUN,,Puneri Paltan,,,,Puneri Paltan,,,Puneri Paltan,,Puneri Paltan,,91,,,,65.0,,,36.0,,37.0,,30,,,,1.25,,,30.0,,30.0,,1.25,,,,0.0520833333333333,,,1.25,,1.25,,7,,,,7.0,,,7.0,,7.0,,0,,,,0.0,,,0.0,,0.0
,Sagar,,,Sagar,Sagar,,,Sagar,Sagar,Sagar,,17,,,17.0,17.0,,,17.0,17.0,17.0,,Defender - Right Corner,,,Defender - Right Corner,Defender - Right Corner,,,Defender - Right Corner,Defender - Right Corner,Defender - Right Corner,,,,,,,,,,,,,CHE,,,CHE,CHE,,,CHE,CHE,CHE,,Tamil Thalaivas,,,Tamil Thalaivas,Tamil Thalaivas,,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,50,,,3.0,6.0,,,14.0,4.0,14.0,,53,,,8.0,3.12,,,45.0,5.0,53.0,,3.1176470588235294,,,0.4705882352941176,0.1835294117647058,,,2.6470588235294117,0.2941176470588235,3.1176470588235294,,29,,,29.0,29.0,,,29.0,29.0,29.0,,0,,,0.0,0.0,,,0.0,0.0,0.0
,Navneet,,Navneet,,,Navneet,Navneet,,,,,3,,3.0,,,3.0,3.0,,,,,Raider,,Raider,,,Raider,Raider,,,,,,,,,,,,,,,,JAI,,JAI,,,JAI,JAI,,,,,Jaipur Pink Panthers,,Jaipur Pink Panthers,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,,,157,,79.0,,,78.0,84.0,,,,,6,,4.0,,,1.0,6.0,,,,,2.0,,1.3333333333333333,,,0.3333333333333333,2.0,,,,,3,,3.0,,,3.0,3.0,,,,,8,,8.0,,,8.0,8.0,,,
,Ashu Singh,,,Ashu Singh,Ashu Singh,,,Ashu Singh,Ashu Singh,Ashu Singh,,23,,,23.0,23.0,,,23.0,23.0,23.0,,Defender - Right Cover,,,Defender - Right Cover,Defender - Right Cover,,,Defender - Right Cover,Defender - Right Cover,Defender - Right Cover,,,,,,,,,,,,,U.P.,,,U.P.,U.P.,,,U.P.,U.P.,U.P.,,U.P. Yoddhas,,,U.P. Yoddhas,U.P. Yoddhas,,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,54,,,7.0,29.0,,,16.0,18.0,16.0,,49,,,6.0,2.13,,,43.0,2.0,49.0,,2.130434782608696,,,0.2608695652173913,0.0926086956521739,,,1.8695652173913044,0.0869565217391304,2.130434782608696,,30,,,30.0,30.0,,,30.0,30.0,30.0,,0,,,0.0,0.0,,,0.0,0.0,0.0
,Sumit,,Sumit,Sumit,Sumit,,Sumit,Sumit,Sumit,Sumit,,21,,21.0,21.0,21.0,,21.0,21.0,21.0,21.0,,Defender - Left Corner,,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,,,,,,,,,,,,,U.P.,,U.P.,U.P.,U.P.,,U.P.,U.P.,U.P.,U.P.,,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,46,,108.0,9.0,15.0,,102.0,13.0,13.0,12.0,,56,,1.0,5.0,2.57,,2.0,49.0,3.0,54.0,,2.6666666666666665,,0.0476190476190476,0.238095238095238,0.1223809523809523,,0.0952380952380952,2.3333333333333335,0.1428571428571428,2.5714285714285716,,30,,30.0,30.0,30.0,,30.0,30.0,30.0,30.0,,0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Surender Gill,Surender Gill,Surender Gill,Surender Gill,Surender Gill,Surender Gill,Surender Gill,Surender Gill,Surender Gill,,Surender Gill,14.0,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,14.0,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,U.P.,U.P.,U.P.,U.P.,U.P.,U.P.,U.P.,U.P.,U.P.,,U.P.,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,7.0,13,9.0,15.0,78.0,125.0,15.0,13.0,106.0,,102.0,6.0,145,8.0,106.0,1.0,0.36,19.0,140.0,4.0,,5.0,0.4285714285714285,10.357142857142858,0.5714285714285714,7.571428571428571,0.0714285714285714,0.0257142857142857,1.3571428571428572,10.0,0.2857142857142857,,0.3571428571428571,30.0,30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,30.0,8.0,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0
,Sajin C,,,Sajin C,Sajin C,,,Sajin C,,Sajin C,,13,,,13.0,13.0,,,13.0,,13.0,,All-Rounder,,,All-Rounder,All-Rounder,,,All-Rounder,,All-Rounder,,,,,,,,,,,,,PAT,,,PAT,PAT,,,PAT,,PAT,,Patna Pirates,,,Patna Pirates,Patna Pirates,,,Patna Pirates,,Patna Pirates,,134,,,79.0,91.0,,,74.0,,74.0,,10,,,1.0,0.77,,,9.0,,10.0,,0.7692307692307693,,,0.0769230769230769,0.0592307692307692,,,0.6923076923076923,,0.7692307692307693,,6,,,6.0,6.0,,,6.0,,6.0,,0,,,0.0,0.0,,,0.0,,0.0
Rathan K,Rathan K,,Rathan K,,,Rathan K,Rathan K,,,,4.0,4,,4.0,,,4.0,4.0,,,,Raider,Raider,,Raider,,,Raider,Raider,,,,,,,,,,,,,,,U.P.,U.P.,,U.P.,,,U.P.,U.P.,,,,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,,,U.P. Yoddhas,U.P. Yoddhas,,,,48.0,168,,89.0,,,51.0,85.0,,,,1.0,5,,2.0,,,3.0,5.0,,,,0.25,1.25,,0.5,,,0.75,1.25,,,,30.0,30,,30.0,,,30.0,30.0,,,,8.0,8,,8.0,,,8.0,8.0,,,
,Ankush,,,Ankush,Ankush,,,Ankush,Ankush,Ankush,,24,,,24.0,24.0,,,24.0,24.0,24.0,,Defender - Left Corner,,,Defender - Left Corner,Defender - Left Corner,,,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,,,,,,,,,,,,,JAI,,,JAI,JAI,,,JAI,JAI,JAI,,Jaipur Pink Panthers,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,27,,,10.0,5.0,,,1.0,1.0,1.0,,89,,,5.0,3.71,,,84.0,9.0,89.0,,3.7083333333333335,,,0.2083333333333333,0.1545833333333333,,,3.5,0.375,3.7083333333333335,,3,,,3.0,3.0,,,3.0,3.0,3.0,,0,,,0.0,0.0,,,0.0,0.0,0.0
,Sourav Gulia,,,,Sourav Gulia,,,Sourav Gulia,Sourav Gulia,Sourav Gulia,,16,,,,16.0,,,16.0,16.0,16.0,,Defender,,,,Defender,,,Defender,Defender,Defender,,,,,,,,,,,,,GUJ,,,,GUJ,,,GUJ,GUJ,GUJ,,Gujarat Giants,,,,Gujarat Giants,,,Gujarat Giants,Gujarat Giants,Gujarat Giants,,78,,,,27.0,,,27.0,9.0,31.0,,35,,,,2.19,,,35.0,3.0,35.0,,2.1875,,,,0.136875,,,2.1875,0.1875,2.1875,,31,,,,31.0,,,31.0,31.0,31.0,,9,,,,9.0,,,9.0,9.0,9.0
,Rinku,,,Rinku,Rinku,,,Rinku,Rinku,Rinku,,19,,,19.0,19.0,,,19.0,19.0,19.0,,Defender - Right Corner,,,Defender - Right Corner,Defender - Right Corner,,,Defender - Right Corner,Defender - Right Corner,Defender - Right Corner,,,,,,,,,,,,,MUM,,,MUM,MUM,,,MUM,MUM,MUM,,U Mumba,,,U Mumba,U Mumba,,,U Mumba,U Mumba,U Mumba,,39,,,5.0,7.0,,,10.0,10.0,6.0,,59,,,7.0,3.11,,,52.0,3.0,59.0,,3.1052631578947367,,,0.3684210526315789,0.1636842105263158,,,2.736842105263158,0.1578947368421052,3.1052631578947367,,5,,,5.0,5.0,,,5.0,5.0,5.0,,0,,,0.0,0.0,,,0.0,0.0,0.0
Manjeet,Manjeet,Manjeet,Manjeet,Manjeet,Manjeet,Manjeet,Manjeet,Manjeet,,Manjeet,20.0,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,20.0,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,,DEL,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,22.0,34,35.0,33.0,73.0,126.0,26.0,31.0,85.0,,89.0,3.0,69,1.0,41.0,1.0,0.35,14.0,62.0,6.0,,7.0,0.15,3.45,0.05,2.05,0.05,0.0174999999999999,0.7,3.1,0.3,,0.35,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,8.0,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0
Rakesh,Rakesh,Rakesh,Rakesh,,Rakesh,Rakesh,Rakesh,Rakesh,,Rakesh,17.0,17,17.0,17.0,,17.0,17.0,17.0,17.0,,17.0,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,GUJ,GUJ,GUJ,GUJ,,GUJ,GUJ,GUJ,GUJ,,GUJ,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,,Gujarat Giants,23.0,21,10.0,18.0,,167.0,8.0,19.0,132.0,,147.0,3.0,133,7.0,103.0,,0.12,26.0,131.0,2.0,,2.0,0.1764705882352941,7.823529411764706,0.4117647058823529,6.0588235294117645,,0.0070588235294117,1.5294117647058822,7.705882352941177,0.1176470588235294,,0.1176470588235294,31.0,31,31.0,31.0,,31.0,31.0,31.0,31.0,,31.0,8.0,8,8.0,8.0,,8.0,8.0,8.0,8.0,,8.0
,Prince D,,,,Prince D,,,Prince D,,Prince D,,9,,,,9.0,,,9.0,,9.0,,Defender - Right Cover,,,,Defender - Right Cover,,,Defender - Right Cover,,Defender - Right Cover,,,,,,,,,,,,,HYD,,,,HYD,,,HYD,,HYD,,Telugu Titans,,,,Telugu Titans,,,Telugu Titans,,Telugu Titans,,187,,,,127.0,,,130.0,,123.0,,3,,,,0.33,,,3.0,,3.0,,0.3333333333333333,,,,0.0366666666666666,,,0.3333333333333333,,0.3333333333333333,,8,,,,8.0,,,8.0,,8.0,,0,,,,0.0,,,0.0,,0.0
,Himanshu Narwal,,Himanshu Narwal,,,Himanshu Narwal,Himanshu Narwal,,,,,3,,3.0,,,3.0,3.0,,,,,Raider,,Raider,,,Raider,Raider,,,,,,,,,,,,,,,,CHE,,CHE,,,CHE,CHE,,,,,Tamil Thalaivas,,Tamil Thalaivas,,,Tamil Thalaivas,Tamil Thalaivas,,,,,156,,88.0,,,73.0,80.0,,,,,6,,3.0,,,1.0,6.0,,,,,2.0,,1.0,,,0.3333333333333333,2.0,,,,,29,,29.0,,,29.0,29.0,,,,,8,,8.0,,,8.0,8.0,,,
Durgesh Kumar,Durgesh Kumar,,Durgesh Kumar,,Durgesh Kumar,Durgesh Kumar,Durgesh Kumar,Durgesh Kumar,,Durgesh Kumar,10.0,10,,10.0,,10.0,10.0,10.0,10.0,,10.0,Raider,Raider,,Raider,,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,U.P.,U.P.,,U.P.,,U.P.,U.P.,U.P.,U.P.,,U.P.,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,47.0,109,,70.0,,135.0,74.0,58.0,131.0,,124.0,1.0,19,,7.0,,0.3,1.0,16.0,3.0,,3.0,0.1,1.9,,0.7,,0.03,0.1,1.6,0.3,,0.3,30.0,30,,30.0,,30.0,30.0,30.0,30.0,,30.0,8.0,8,,8.0,,8.0,8.0,8.0,8.0,,8.0
Mohit Goyat,Mohit Goyat,Mohit Goyat,Mohit Goyat,Mohit Goyat,Mohit Goyat,Mohit Goyat,Mohit Goyat,Mohit Goyat,,Mohit Goyat,17.0,17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,17.0,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,PUN,PUN,PUN,PUN,PUN,PUN,PUN,PUN,PUN,,PUN,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,14.0,19,19.0,20.0,74.0,81.0,5.0,22.0,56.0,,58.0,4.0,137,4.0,96.0,1.0,1.0,35.0,120.0,16.0,,17.0,0.2352941176470588,8.058823529411764,0.2352941176470588,5.647058823529412,0.0588235294117647,0.0588235294117647,2.0588235294117645,7.0588235294117645,0.9411764705882352,,1.0,7.0,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,8.0,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0
,Shivansh Thakur,,,Shivansh Thakur,Shivansh Thakur,,,Shivansh Thakur,Shivansh Thakur,Shivansh Thakur,,6,,,6.0,6.0,,,6.0,6.0,6.0,,Defender - Right Cover,,,Defender - Right Cover,Defender - Right Cover,,,Defender - Right Cover,Defender - Right Cover,Defender - Right Cover,,,,,,,,,,,,,MUM,,,MUM,MUM,,,MUM,MUM,MUM,,U Mumba,,,U Mumba,U Mumba,,,U Mumba,U Mumba,U Mumba,,139,,,42.0,52.0,,,83.0,36.0,77.0,,9,,,2.0,1.5,,,7.0,1.0,9.0,,1.5,,,0.3333333333333333,0.25,,,1.1666666666666667,0.1666666666666666,1.5,,5,,,5.0,5.0,,,5.0,5.0,5.0,,0,,,0.0,0.0,,,0.0,0.0,0.0
,Nitin Chandel,,,,Nitin Chandel,,,Nitin Chandel,,Nitin Chandel,,3,,,,3.0,,,3.0,,3.0,,Defender - Right Corner,,,,Defender - Right Corner,,,Defender - Right Corner,,Defender - Right Corner,,,,,,,,,,,,,JAI,,,,JAI,,,JAI,,JAI,,Jaipur Pink Panthers,,,,Jaipur Pink Panthers,,,Jaipur Pink Panthers,,Jaipur Pink Panthers,,213,,,,128.0,,,169.0,,158.0,,1,,,,0.33,,,1.0,,1.0,,0.3333333333333333,,,,0.11,,,0.3333333333333333,,0.3333333333333333,,3,,,,3.0,,,3.0,,3.0,,0,,,,0.0,,,0.0,,0.0
,Sager Kumar,,,,Sager Kumar,,,Sager Kumar,Sager Kumar,Sager Kumar,,1,,,,1.0,,,1.0,1.0,1.0,,All-rounder,,,,All-rounder,,,All-rounder,All-rounder,All-rounder,,,,,,,,,,,,,PAT,,,,PAT,,,PAT,PAT,PAT,,Patna Pirates,,,,Patna Pirates,,,Patna Pirates,Patna Pirates,Patna Pirates,,149,,,,1.0,,,84.0,37.0,88.0,,7,,,,7.0,,,7.0,1.0,7.0,,7.0,,,,7.0,,,7.0,1.0,7.0,,6,,,,6.0,,,6.0,6.0,6.0,,0,,,,0.0,,,0.0,0.0,0.0
,Tejas Patil,,Tejas Patil,,,Tejas Patil,Tejas Patil,,,,,2,,2.0,,,2.0,2.0,,,,,All-Rounder,,All-Rounder,,,All-Rounder,All-Rounder,,,,,,,,,,,,,,,,DEL,,DEL,,,DEL,DEL,,,,,Dabang Delhi K.C.,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,,211,,110.0,,,75.0,140.0,,,,,1,,1.0,,,1.0,1.0,,,,,0.5,,0.5,,,0.5,0.5,,,,,2,,2.0,,,2.0,2.0,,,,,0,,0.0,,,0.0,0.0,,,
,D MahindraPrasad,,D MahindraPrasad,,,,D MahindraPrasad,,,,,1,,1.0,,,,1.0,,,,,Defender - Left Corner,,Defender - Left Corner,,,,Defender - Left Corner,,,,,,,,,,,,,,,,PUN,,PUN,,,,PUN,,,,,Puneri Paltan,,Puneri Paltan,,,,Puneri Paltan,,,,,212,,111.0,,,,141.0,,,,,1,,1.0,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,7,,7.0,,,,7.0,,,,,0,,0.0,,,,0.0,,,
,Lovepreet Singh,,Lovepreet Singh,,Lovepreet Singh,,Lovepreet Singh,Lovepreet Singh,,Lovepreet Singh,,3,,3.0,,3.0,,3.0,3.0,,3.0,,Raider,,Raider,,Raider,,Raider,Raider,,Raider,,,,,,,,,,,,,HAR,,HAR,,HAR,,HAR,HAR,,HAR,,Haryana Steelers,,Haryana Steelers,,Haryana Steelers,,Haryana Steelers,Haryana Steelers,,Haryana Steelers,,138,,73.0,,99.0,,79.0,133.0,,148.0,,9,,6.0,,0.67,,7.0,2.0,,2.0,,3.0,,2.0,,0.2233333333333333,,2.3333333333333335,0.6666666666666666,,0.6666666666666666,,28,,28.0,,28.0,,28.0,28.0,,28.0,,8,,8.0,,8.0,,8.0,8.0,,8.0
